smiles,heptox
COc1cc(ccc1Cc2cn(C)c3ccc(NC(=O)OC4CCCC4)cc23)C(=O)NS(=O)(=O)c5ccccc5C,1.0
NC(=O)OCC(COC(=O)N)c1ccccc1,1.0
[O-]S(=O)(=O)OC[C@H]1O[C@@H](O[C@]2(COS(=O)(=O)[O-])O[C@H](OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@@H]2OS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@@H]1OS(=O)(=O)[O-],0.0
OC(=O)c1ccc(cc1)N2N\C(=C/3\C=CC=CC3=O)\N/C/2=C\4/C=CC=CC4=O,1.0
Clc1ccc(OCC(=O)N2CCN(Cc3ccc4OCOc4c3)CC2)cc1,1.0
COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC,1.0
CNCC[C@@H](Oc1ccccc1C)c2ccccc2,1.0
CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c6cc(OC)c(OC)c(OC)c6,0.0
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,1.0
CCCC(CCC)C(=O)O,1.0
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,0.0
Nc1ncnc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,0.0
Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4ccccc34)c5ccc(F)cc5,0.0
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,1.0
OC(=O)[O-],0.0
CN1C2=C(OC(=O)N(C2=O)c3ccccn3)c4ccccc4S1(=O)=O,1.0
Fc1ccc(cc1)C(=O)CCCN2CCC(=CC2)N3C(=O)Nc4ccccc34,0.0
CCCC1=CC(=O)NC(=S)N1,1.0
CCCCC(F)(F)[C@@]1(O)CC[C@@H]2[C@H](CCCCCCC(=O)O)C(=O)C[C@H]2O1,0.0
CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C)c(O)c4C(=C(NC(=O)\C(=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@@H]1C)\C)\C(=C/NN5CCN(C)CC5)\C(=O)c4c3C2=O)O,1.0
NCCc1ccc(O)cc1,0.0
