smiles,solub
CCOc1ccc(CN2C(=O)c3ccccc3Sc4ccc(cc24)C(=O)NC5CCC(C)CC5)cc1,0.0
Cc1cc(OCCCc2c([nH]c3ccccc23)C(=O)NS(=O)(=O)CCNC(=O)c4cccn4Cc5ccccc5)cc(C)c1Cl,0.0
N(c1cc([nH]n1)c2ccccc2)c3nc(nc4ccccc34)c5ccncc5,0.0
CC(C)CC(=O)NCCS(=O)(=O)NC(=O)c1[nH]c2cc(Cl)ccc2c1CCCOc3cc(C)c(Cl)c(C)c3,0.0
Cc1ccnc(NC(=S)N2CCCC(C2)Nc3cccc(c3)C(F)(F)F)c1,1.0
CN(C(c1ccccc1C)c2ncccc2C)C(=O)C3CCN(CCOc4ccc(C)cc4)CC3,1.0
FC(F)(F)c1ccc(Cc2cnc(NC(=O)c3ccc(s3)c4ccccc4)s2)cc1,0.0
CN1C(=O)N(c2ccc(N3CCN(CC3)C(=O)OC(C)(C)C)c(c2)C(F)(F)F)c4c1cnc5ccc(cc45)c6cnccc6Cl,0.0
NS(=O)(=O)c1ccc(Cc2c(C=C)n(nc2c3ccccc3)c4nc(cs4)C(=O)O)cc1,1.0
CCN(CC)S(=O)(=O)c1cccc(NC(=O)CNc2cccc(c2)S(=O)(=O)N3CCOCC3)c1,1.0
Cc1cccc(c1)n2cnc3cc(ccc23)C(=O)N4CCCCCC4,1.0
COC(=O)CCSC\C=C(/C)\CCn1cc(CCc2ccc(cc2)c3ccccc3)nn1,1.0
NS(=O)(=O)c1ccc(Cc2c(CC3CC3)n(nc2c4cccc(c4)c5ccccc5)c6nc(cs6)C(=O)O)c(F)c1,1.0
O=C1CCCC2=C1C3(CCSC3)N=C(Nc4oc5ccccc5n4)N2,0.0
Cc1cc(nn1c2nc(cs2)C(=O)O)c3ccc(F)cc3,1.0
Cc1cc(C)nc(NC(=S)N2CCN(Cc3ccc(c(Cl)c3)C(F)(F)F)CC2)c1,0.0
CC(C)(C)S(=O)(=O)c1ccc(cc1)S(=O)(=O)Nc2ccccc2N3CCCCC3,0.0
O=C(NCCCN(CC1CCCC1)Cc2ccccc2)C3CCN(CC3)C(=O)c4oc5ccccc5c4,1.0
COc1ccc2ncc(C(=O)N3CCC(CC3)N4CCCC4)c(N5CCC6(CC5)OCCO6)c2c1,1.0
o1cccc1c2ccc3nncn3c2,1.0
Cc1ccc(cc1)c2cccc(c2)c3c(Cc4ccc(c(F)c4)S(=O)(=O)N)c(CC5CC5)nn3c6nc(cs6)C(=O)O,1.0
