smiles,herg
Oc1ccc(O)cc1,0.0
C[C@H](Cc1ccccc1)Nc2ncnc3c2ncn3[C@@H]4O[C@H](CO)[C@H](O)[C@H]4O,0.0
CCC(C1OC(C(C)C(O)C(C)C(=O)C(CC)C2OC3(OC4(CCC(C)(O4)C5CCC(O)(CC)C(C)O5)C(O)C=C3)C(C)CC2C)C(C)CC1C)C(=O)O,0.0
CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CC(C)C)C(C)C)C(C)C)[C@@H](O)CC(=O)O,0.0
CCOc1ccc2nc(sc2c1)S(=O)(=O)N,0.0
CCCC(C)(COC(=O)N)COC(=O)NC1CC1,0.0
CC1(C)SC2[C@@H](\N=C\N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,0.0
CCOC(=O)C1=C(COCCN)NC(=C(C1c2ccccc2Cl)C(=O)OC)C,0.0
CO[C@H]1[C@@H](CC(=O)O[C@H](C)C[C@@H]2OC2C=CC(=O)[C@H](C)C[C@H](CC=O)[C@@H]1OC3OC(C)C(OC4CC(C)(O)C(OC(=O)CC(C)C)C(C)O4)C(C3O)N(C)C)OC(=O)C,0.0
NCCc1cc(O)c(O)cc1O,0.0
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,0.0
Cc1ccc(cc1)C(C)(C)c2ccc(C)cc2,0.0
C[N+]1(C)[C@@H]2CC[C@@H]1CC(C2)OC(=O)[C@@H](CO)c3ccccc3,0.0
COc1cc(cc(OC)c1O)[C@@H]2[C@@H]3[C@@H](COC3=O)[C@H](O[C@@H]4O[C@H]5CO[C@@H](C)O[C@@H]5[C@@H](O)[C@H]4O)c6cc7OCOc7cc26,0.0
ClCCN(CCCl)P1(=O)NCCCO1,0.0
COc1ccc(\C=C\C)cc1,0.0
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,1.0
CCN(CC)CCOCCOC(=O)C(CC)(CC)c1ccccc1,1.0
CCCc1nc(C)c2C(=O)N=C(Nn12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(CC)CC4,0.0
