smile,solub
CC1CN(CC(C)O1)C(=S)NC(=O)c2ccccc2,1
O=C(Nc1cccc(Oc2ccccc2)c1)C3=NNC(=O)CC3,1
Cc1ccc(cc1)N2C(=O)c3c4CCCc4sc3N5C(=S)NN=C25,0
COc1ccccc1\C=C\C(=O)OCC(=O)NC2CCS(=O)(=O)C2,1
CC(C)CC1=NNC(=O)c2c1nnn2Cc3ccccc3F,1
CC(=O)N1CCN(CC1)C(=O)c2oc3ccccc3c2,1
CC(=O)Nc1ccc(CN2CCN(C(CCO)C2)C3CCCC3)cc1,1
CN(C)CCCNC1=CC(=O)CC(C1)c2ccccc2,1
C\C(=N\NC(=O)CN1CCN(CC1)S(=O)(=O)c2ccc(C)cc2)\c3occc3,1
CCn1nnnc1SCC(=O)Nc2ccc(cc2)N(C)C,1
Cc1oc(C)c(c1)C(=O)NN=C(CCC(=O)O)c2cccs2,1
COC(=O)C(C(=O)OC)c1ncc(cc1Cl)C(F)(F)F,1
COc1ccc(OC)c(CN2CCCCCC2)c1,1
Cc1ccc(cc1)C(=O)CCc2ccc(N)cc2,1
COC1=CC(=O)\C(=C\2/NC(=NC=C2c3ccccc3OC)N)\C=C1,1
Fc1ccc(cc1)S(=O)(=O)NCCC2=CCCCC2,1
Brc1ccc(cc1)C(=O)OCC(=O)NC2CCCC2,0
CN1C(=C(Sc2ccccc2N(=O)=O)C(=O)N(C)C1=O)N,1
FC(F)(F)C1(NC(=O)NCCN2CCOCC2)Oc3ccc(Cl)cc3O1,1
CC(Oc1cccc2ccccc12)C(=O)N\N=C\c3cccnc3,1
CC(Nc1ccc2OCCOc2c1)C(=O)Nc3ccc4OCOc4c3,1
CCOC(=O)Cc1csc(NC(=O)CN2CCN(CC2)c3ccccc3)n1,1
Cc1ccnc(n1)N2CCCC(C2)C(=O)Nc3cccc(C)c3C,0
Cc1cc2ccccn2c1C(=O)c3ccc(F)cc3,0
COc1ccc(CCNC(=O)COC(=O)c2ccc(C)s2)cc1,1
COc1ccc(cc1)S(=O)(=O)NCCc2c[nH]c3ccc(C)cc23,1
CC(SCc1ccccc1)C(=O)Nc2ccccc2F,1
Cc1ccc(NC(=O)C2CCCN2C(=O)OCc3ccccc3)c(C)c1,1
CCOc1ccc(cc1)N2C(=O)NC(=O)\C(=C/c3ccccc3N(=O)=O)\C2=O,1
OC(=O)c1cc(nc2ccccc12)c3ccc(Cl)s3,1
COC(=O)c1ccc(NC(=O)CCC(=O)c2ccc(F)cc2)cc1,0
COc1cc(ccc1O)C(=O)NN2C(=S)S\C(=C/3\C(=O)Nc4ccccc34)\C2=O,1
CCN(Cc1ccncc1)C(=S)NCc2ccccc2,1
CN(CC(=O)Nc1ccc(F)c(F)c1F)C(=O)c2ccc(cc2)N3CCCC3=O,1
Clc1ccccc1C(=O)Nc2cccc3ncccc23,1
COc1ccc(cc1Cl)C(=O)Nc2cc(cc(c2)C(=O)O)C(=O)O,1
CCOc1ccccc1NC(=O)Cn2ncc3ccc(cc23)N(=O)=O,0
NS(=O)(=O)c1ccc(CCNC(=O)COC(=O)CCc2c[nH]c3ccccc23)cc1,1
Cc1ccc(Nc2nc3ccccc3n4cnnc24)cc1Cl,0
COc1ccc(NC(=O)c2csc(C)c2)cc1OC,1
CC(Sc1ncn[nH]1)C(=O)Nc2ccc(Cl)cn2,1
CCN1C(=S)NN=C1CCCOc2ccc(Cl)cc2Cl,0
Cc1c(C(=O)O)c(C(=O)O)c2SCCn12,1
COc1ccc(cc1)S(=O)(=O)N(C)CC(=O)N2CCCCCC2,1
COc1ccc(cc1OC)c2nnc3CCCCCn23,1
Cn1c(CC(=O)NNC(=O)c2cccnc2)nc3ccccc13,1
Cc1ccc(\C=N\NC(=O)c2ccc3OCCOc3c2)s1,1
Cc1ccc(cc1C)S(=O)(=O)N2CCC(CC2)C(=O)OCC(=O)NCc3cccc(Cl)c3,1
CCCOP(=O)(C(O)c1ccc(Cl)cc1)c2ccc(cc2)N(C)C,1
Cc1ccc(cc1)C2=NN(C(C2)c3cccs3)C(=O)CCC(=O)O,1
CCN(CC(=O)NCc1ccc(F)cc1)C(=O)c2oc(C)cc2,1
C\C(=N/NC(=O)c1cccnc1)\c2cccc(c2)N(=O)=O,1
CC(=O)c1c(C)cc(C)c(CSc2ccccn2)c1C,1
COCCCNC(=S)N(Cc1ccccc1)Cc2ccc(F)cc2,1
CC1CCCCC1NC(=O)CCS(=O)(=O)c2ccc(Cl)cc2,1
OC(=O)C(NS(=O)(=O)c1cccc2nsnc12)c3ccccc3,1
CN1C(=C(SC1=S)C(=O)Nc2c(Cl)cccc2Cl)N,0
CC(C)N(CC(=O)N)c1ncnc2sc(cc12)c3ccccc3,1
C(CSc1ccccc1)OCCN2CCOCC2,1
CSc1ncccc1C(=O)Nc2nc(cs2)C(C)(C)C,1
Cc1ccc(CONC(=O)c2ccc(OC(F)F)cc2)cc1,0
CC(C)[C@H](NC(=O)NC1CCN(Cc2ccccc2)CC1)C(=O)O,1
Cc1ccc(CNC(=O)COC(=O)COc2ccc(cc2)C#N)cc1,1
Fc1ccc(SCC(=O)Nc2ccc(cc2)C3SCCS3)cc1,0
Cc1ccc2c(N)c(sc2n1)C(=O)c3ccccc3,0
CCC1(CC)NC(=O)N(CC(=O)Nc2ccc(C)cc2C)C1=O,1
